name,nametype,recclass,mass (g),fall,year,reclat,reclong,country,continent
Bhola,Valid,LL3-6,1047.0,Fell,1940,22.68333,90.65,,
Bholghati,Valid,Howardite,2500.0,Fell,1905,22.08333,86.9,India,Asia
Bialystok,Valid,Eucrite-pmict,4000.0,Fell,1827,53.1,23.2,Poland,Europe
Bielokrynitschie,Valid,H4,1900.0,Fell,1887,50.13333,27.16667,Ukraine,Europe
Bilanga,Valid,Diogenite,25000.0,Fell,1999,12.45,-0.08333,Burkina Faso,Africa
Binningup,Valid,H5,488.1,Fell,1984,-33.15639,115.67639,,
Birni N'konni,Valid,H4,560.0,Fell,1923,13.76667,5.3,Nigeria,Africa
Bishopville,Valid,Aubrite,6000.0,Fell,1843,34.16667,-80.28333,United States of America,North America
Bishunpur,Valid,LL3.15,1039.0,Fell,1895,25.38333,82.6,India,Asia
Bjelaja Zerkov,Valid,H6,1850.0,Fell,1796,49.78333,30.16667,Ukraine,Europe
Bjurböle,Valid,L/LL4,330000.0,Fell,1899,60.4,25.8,Finland,Europe
Black Moshannan Park,Valid,L5,705.0,Fell,1941,40.91667,-78.08333,United States of America,North America
Blackwell,Valid,L5,2381.0,Fell,1906,36.83333,-97.33333,United States of America,North America
Blanket,Valid,L6,5100.0,Fell,1909,31.83333,-98.83333,United States of America,North America
Blansko,Valid,H6,470.0,Fell,1833,49.36667,16.63333,Czechia,Europe
Bloomington,Valid,LL6,67.8,Fell,1938,40.48,-89.00417,United States of America,North America
Bo Xian,Valid,LL3.9,7500.0,Fell,1977,33.83333,115.83333,China,Asia
Bocas,Valid,L6,56.0,Fell,1804,23.0,-102.0,Mexico,North America
Bogou,Valid,"Iron, IAB-MG",8800.0,Fell,1962,12.5,0.7,Burkina Faso,Africa
Boguslavka,Valid,"Iron, IIAB",256000.0,Fell,1916,44.55,131.63333,Russia,Europe
Borgo San Donino,Valid,LL6,1676.0,Fell,1808,44.86667,10.05,Italy,Europe
Bori,Valid,L6,8600.0,Fell,1894,21.95,78.03333,India,Asia
Boriskino,Valid,CM2,1342.0,Fell,1930,54.23333,52.48333,Russia,Europe
Borkut,Valid,L5,7000.0,Fell,1852,48.15,24.28333,Ukraine,Europe
Borodino,Valid,H5,500.0,Fell,1812,55.46667,35.86667,Russia,Europe
Botschetschki,Valid,L4,614.0,Fell,1823,51.33333,33.88333,Ukraine,Europe
Boumdeid (2003),Valid,L6,190.0,Fell,2003,17.71067,-11.3715,Mauritania,Africa
Boumdeid (2011),Valid,L6,3599.0,Fell,2011,17.17493,-11.34133,Mauritania,Africa
Bovedy,Valid,L3,5460.0,Fell,1969,54.56667,-6.33333,United Kingdom,Europe
Bradford Woods,Valid,L,762.0,Fell,1886,40.5,-80.08333,United States of America,North America
Braunau,Valid,"Iron, IIAB",39000.0,Fell,1847,50.6,16.3,Poland,Europe
Breitscheid,Valid,H5,1500.0,Fell,1956,50.66694,8.18361,Germany,Europe
Bremervörde,Valid,H/L3.9,7250.0,Fell,1855,53.4,9.1,Germany,Europe
Brient,Valid,Eucrite-pmict,219.0,Fell,1933,52.13333,59.31667,Russia,Europe
Bruderheim,Valid,L6,303000.0,Fell,1960,53.9,-112.88333,Canada,North America
Bukhara,Valid,CV3,5300.0,Fell,2001,39.77978,64.60035,Uzbekistan,Asia
Bulls Run,Valid,Iron?,2250.0,Fell,1964,0.0,0.0,,
Bunburra Rockhole,Valid,Eucrite,324.0,Fell,2007,-31.35,129.19,Australia,Oceania
Bununu,Valid,Howardite,357.0,Fell,1942,10.01667,9.58333,Nigeria,Africa
Bur-Gheluai,Valid,H5,120000.0,Fell,1919,5.0,48.0,Somalia,Africa
Burnwell,Valid,H4-an,1504.0,Fell,1990,37.62194,-82.23722,United States of America,North America
Bursa,Valid,L6,25000.0,Fell,1946,40.2,29.23333,Turkey,Asia
Buschhof,Valid,L6,5000.0,Fell,1863,46.45,25.78333,Romania,Europe
